Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","90","Guinea","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","8.36","Fc","Calculated data"
"FBS","New Food Balances","175","Guinea-Bissau","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","13.64","Fc","Calculated data"
"FBS","New Food Balances","91","Guyana","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","29.96","Fc","Calculated data"
"FBS","New Food Balances","93","Haiti","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","10.77","Fc","Calculated data"
"FBS","New Food Balances","95","Honduras","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","23.11","Fc","Calculated data"
"FBS","New Food Balances","97","Hungary","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","89.03","Fc","Calculated data"
"FBS","New Food Balances","99","Iceland","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","114.92","Fc","Calculated data"
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","18.25","Fc","Calculated data"
"FBS","New Food Balances","101","Indonesia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","10.15","Fc","Calculated data"
"FBS","New Food Balances","102","Iran (Islamic Republic of)","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","26.3","Fc","Calculated data"
"FBS","New Food Balances","103","Iraq","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","15.45","Fc","Calculated data"
"FBS","New Food Balances","104","Ireland","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","76.82","Fc","Calculated data"
"FBS","New Food Balances","105","Israel","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","49.26","Fc","Calculated data"
"FBS","New Food Balances","106","Italy","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","66.27","Fc","Calculated data"
"FBS","New Food Balances","109","Jamaica","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","36.32","Fc","Calculated data"
"FBS","New Food Balances","110","Japan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","34.12","Fc","Calculated data"
"FBS","New Food Balances","112","Jordan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","22.3","Fc","Calculated data"
"FBS","New Food Balances","108","Kazakhstan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","60.27","Fc","Calculated data"
"FBS","New Food Balances","114","Kenya","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","15.99","Fc","Calculated data"
"FBS","New Food Balances","83","Kiribati","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","21.94","Fc","Calculated data"
"FBS","New Food Balances","118","Kuwait","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","42.11","Fc","Calculated data"
"FBS","New Food Balances","113","Kyrgyzstan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","39.03","Fc","Calculated data"
"FBS","New Food Balances","120","Lao People's Democratic Republic","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","22.18","Fc","Calculated data"
"FBS","New Food Balances","119","Latvia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","75.93","Fc","Calculated data"
"FBS","New Food Balances","121","Lebanon","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","22.24","Fc","Calculated data"
"FBS","New Food Balances","122","Lesotho","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","11.27","Fc","Calculated data"
"FBS","New Food Balances","123","Liberia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","8.22","Fc","Calculated data"
"FBS","New Food Balances","126","Lithuania","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","68.89","Fc","Calculated data"
"FBS","New Food Balances","256","Luxembourg","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","88.71","Fc","Calculated data"
"FBS","New Food Balances","129","Madagascar","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","8.97","Fc","Calculated data"
"FBS","New Food Balances","130","Malawi","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","17.82","Fc","Calculated data"
"FBS","New Food Balances","131","Malaysia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","31.3","Fc","Calculated data"
"FBS","New Food Balances","132","Maldives","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","28.69","Fc","Calculated data"
"FBS","New Food Balances","133","Mali","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","21.05","Fc","Calculated data"
"FBS","New Food Balances","134","Malta","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","69.45","Fc","Calculated data"
"FBS","New Food Balances","136","Mauritania","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","25.28","Fc","Calculated data"
"FBS","New Food Balances","137","Mauritius","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","25.77","Fc","Calculated data"
"FBS","New Food Balances","138","Mexico","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","47.95","Fc","Calculated data"
"FBS","New Food Balances","141","Mongolia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","70.32","Fc","Calculated data"
"FBS","New Food Balances","273","Montenegro","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","91.56","Fc","Calculated data"
"FBS","New Food Balances","143","Morocco","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","20.89","Fc","Calculated data"
"FBS","New Food Balances","144","Mozambique","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","9.42","Fc","Calculated data"
"FBS","New Food Balances","28","Myanmar","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","41.67","Fc","Calculated data"
"FBS","New Food Balances","147","Namibia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","20.94","Fc","Calculated data"
"FBS","New Food Balances","149","Nepal","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","14.81","Fc","Calculated data"
"FBS","New Food Balances","150","Netherlands","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","78.09","Fc","Calculated data"
"FBS","New Food Balances","153","New Caledonia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","53.12","Fc","Calculated data"
"FBS","New Food Balances","156","New Zealand","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","79.46","Fc","Calculated data"
"FBS","New Food Balances","157","Nicaragua","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","22.85","Fc","Calculated data"
"FBS","New Food Balances","158","Niger","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","11.36","Fc","Calculated data"
"FBS","New Food Balances","159","Nigeria","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","4.97","Fc","Calculated data"
"FBS","New Food Balances","154","North Macedonia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","40.6","Fc","Calculated data"
"FBS","New Food Balances","162","Norway","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","80.55","Fc","Calculated data"
"FBS","New Food Balances","221","Oman","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","36.35","Fc","Calculated data"
"FBS","New Food Balances","165","Pakistan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","36.42","Fc","Calculated data"
"FBS","New Food Balances","166","Panama","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","41.28","Fc","Calculated data"
"FBS","New Food Balances","169","Paraguay","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","36.39","Fc","Calculated data"
"FBS","New Food Balances","170","Peru","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","17.95","Fc","Calculated data"
"FBS","New Food Balances","171","Philippines","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","32.46","Fc","Calculated data"
"FBS","New Food Balances","173","Poland","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","84.38","Fc","Calculated data"
