"Item Group Code","Item Group","Item Code","Item","Factor","HS Code","HS07 Code","HS12 Code","CPC Code"
"2914","Vegetable Oils","2572","Groundnut Oil","1","","","",""
"2914","Vegetable Oils","2582","Maize Germ Oil","1","","","",""
"2914","Vegetable Oils","2586","Oilcrops Oil, Other","1","","","",""
"2914","Vegetable Oils","2580","Olive Oil","1","","","",""
"2914","Vegetable Oils","2577","Palm Oil","1","","","",""
"2914","Vegetable Oils","2576","Palmkernel Oil","1","","","",""
"2914","Vegetable Oils","2574","Rape and Mustard Oil","1","","","",""
"2914","Vegetable Oils","2581","Ricebran Oil","1","","","",""
"2914","Vegetable Oils","2579","Sesameseed Oil","1","","","",""
"2914","Vegetable Oils","2571","Soyabean Oil","1","","","",""
"2914","Vegetable Oils","2573","Sunflowerseed Oil","1","","","",""
"2918","Vegetables","2602","Onions","1","","","",""
"2918","Vegetables","2601","Tomatoes and products","1","","","",""
"2918","Vegetables","2605","Vegetables, Other","1","","","",""
"2903","Vegetal Products","2659","Alcohol, Non-Food","1","","","",""
"2903","Vegetal Products","2617","Apples and products","1","","","",""
"2903","Vegetal Products","2615","Bananas","1","","","",""
"2903","Vegetal Products","2513","Barley and products","1","","","",""
"2903","Vegetal Products","2546","Beans","1","","","",""
"2903","Vegetal Products","2656","Beer","1","","","",""
"2903","Vegetal Products","2658","Beverages, Alcoholic","1","","","",""
"2903","Vegetal Products","2657","Beverages, Fermented","1","","","",""
"2903","Vegetal Products","2532","Cassava and products","1","","","",""
"2903","Vegetal Products","2520","Cereals, Other","1","","","",""
"2903","Vegetal Products","2614","Citrus, Other","1","","","",""
"2903","Vegetal Products","2642","Cloves","1","","","",""
"2903","Vegetal Products","2633","Cocoa Beans and products","1","","","",""
"2903","Vegetal Products","2578","Coconut Oil","1","","","",""
"2903","Vegetal Products","2560","Coconuts - Incl Copra","1","","","",""
"2903","Vegetal Products","2630","Coffee and products","1","","","",""
"2903","Vegetal Products","2559","Cottonseed","1","","","",""
"2903","Vegetal Products","2575","Cottonseed Oil","1","","","",""
"2903","Vegetal Products","2619","Dates","1","","","",""
"2903","Vegetal Products","2625","Fruits, Other","1","","","",""
"2903","Vegetal Products","2613","Grapefruit and products","1","","","",""
"2903","Vegetal Products","2620","Grapes and products (excl wine)","1","","","",""
"2903","Vegetal Products","2572","Groundnut Oil","1","","","",""
"2903","Vegetal Products","2556","Groundnuts (Shelled Eq)","1","","","",""
"2903","Vegetal Products","2745","Honey","1","","","",""
"2903","Vegetal Products","2680","Infant food","1","","","",""
"2903","Vegetal Products","2612","Lemons, Limes and products","1","","","",""
"2903","Vegetal Products","2514","Maize and products","1","","","",""
"2903","Vegetal Products","2582","Maize Germ Oil","1","","","",""
"2903","Vegetal Products","2517","Millet and products","1","","","",""
"2903","Vegetal Products","2899","Miscellaneous","1","","","",""
"2903","Vegetal Products","2551","Nuts and products","1","","","",""
"2903","Vegetal Products","2516","Oats","1","","","",""
"2903","Vegetal Products","2586","Oilcrops Oil, Other","1","","","",""
"2903","Vegetal Products","2570","Oilcrops, Other","1","","","",""
"2903","Vegetal Products","2580","Olive Oil","1","","","",""
"2903","Vegetal Products","2563","Olives (including preserved)","1","","","",""
"2903","Vegetal Products","2602","Onions","1","","","",""
"2903","Vegetal Products","2611","Oranges, Mandarines","1","","","",""
"2903","Vegetal Products","2562","Palm kernels","1","","","",""
"2903","Vegetal Products","2577","Palm Oil","1","","","",""
"2903","Vegetal Products","2576","Palmkernel Oil","1","","","",""
"2903","Vegetal Products","2547","Peas","1","","","",""
"2903","Vegetal Products","2640","Pepper","1","","","",""
"2903","Vegetal Products","2641","Pimento","1","","","",""
"2903","Vegetal Products","2618","Pineapples and products","1","","","",""
"2903","Vegetal Products","2616","Plantains","1","","","",""
"2903","Vegetal Products","2531","Potatoes and products","1","","","",""
"2903","Vegetal Products","2549","Pulses, Other and products","1","","","",""
"2903","Vegetal Products","2574","Rape and Mustard Oil","1","","","",""
"2903","Vegetal Products","2558","Rape and Mustardseed","1","","","",""
"2903","Vegetal Products","2805","Rice (Milled Equivalent)","1","","","",""
"2903","Vegetal Products","2581","Ricebran Oil","1","","","",""
"2903","Vegetal Products","2534","Roots, Other","1","","","",""
"2903","Vegetal Products","2515","Rye and products","1","","","",""
"2903","Vegetal Products","2561","Sesame seed","1","","","",""
"2903","Vegetal Products","2579","Sesameseed Oil","1","","","",""
"2903","Vegetal Products","2518","Sorghum and products","1","","","",""
"2903","Vegetal Products","2571","Soyabean Oil","1","","","",""
"2903","Vegetal Products","2555","Soyabeans","1","","","",""
"2903","Vegetal Products","2645","Spices, Other","1","","","",""
"2903","Vegetal Products","2542","Sugar (Raw Equivalent)","1","","","",""
"2903","Vegetal Products","2537","Sugar beet","1","","","",""
"2903","Vegetal Products","2536","Sugar cane","1","","","",""
"2903","Vegetal Products","2541","Sugar non-centrifugal","1","","","",""
"2903","Vegetal Products","2557","Sunflower seed","1","","","",""
"2903","Vegetal Products","2573","Sunflowerseed Oil","1","","","",""
"2903","Vegetal Products","2533","Sweet potatoes","1","","","",""
"2903","Vegetal Products","2543","Sweeteners, Other","1","","","",""
"2903","Vegetal Products","2635","Tea (including mate)","1","","","",""
"2903","Vegetal Products","2601","Tomatoes and products","1","","","",""
"2903","Vegetal Products","2605","Vegetables, Other","1","","","",""
"2903","Vegetal Products","2511","Wheat and products","1","","","",""
"2903","Vegetal Products","2655","Wine","1","","","",""
"2903","Vegetal Products","2535","Yams","1","","","",""
