Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","104","Ireland","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","5.79","Fc","Calculated data"
"FBS","New Food Balances","105","Israel","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","4.59","Fc","Calculated data"
"FBS","New Food Balances","106","Italy","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.76","Fc","Calculated data"
"FBS","New Food Balances","109","Jamaica","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","9.45","Fc","Calculated data"
"FBS","New Food Balances","110","Japan","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","3.43","Fc","Calculated data"
"FBS","New Food Balances","112","Jordan","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","3.51","Fc","Calculated data"
"FBS","New Food Balances","108","Kazakhstan","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","5.58","Fc","Calculated data"
"FBS","New Food Balances","114","Kenya","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.23","Fc","Calculated data"
"FBS","New Food Balances","83","Kiribati","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.41","Fc","Calculated data"
"FBS","New Food Balances","118","Kuwait","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","11.77","Fc","Calculated data"
"FBS","New Food Balances","113","Kyrgyzstan","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","3.38","Fc","Calculated data"
"FBS","New Food Balances","120","Lao People's Democratic Republic","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.05","Fc","Calculated data"
"FBS","New Food Balances","119","Latvia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","4.88","Fc","Calculated data"
"FBS","New Food Balances","121","Lebanon","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.92","Fc","Calculated data"
"FBS","New Food Balances","122","Lesotho","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","3.01","Fc","Calculated data"
"FBS","New Food Balances","123","Liberia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","2.27","Fc","Calculated data"
"FBS","New Food Balances","126","Lithuania","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.27","Fc","Calculated data"
"FBS","New Food Balances","256","Luxembourg","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","7.67","Fc","Calculated data"
"FBS","New Food Balances","129","Madagascar","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.66","Fc","Calculated data"
"FBS","New Food Balances","130","Malawi","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.54","Fc","Calculated data"
"FBS","New Food Balances","131","Malaysia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","1.66","Fc","Calculated data"
"FBS","New Food Balances","132","Maldives","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","31.16","Fc","Calculated data"
"FBS","New Food Balances","133","Mali","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","2.28","Fc","Calculated data"
"FBS","New Food Balances","134","Malta","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.56","Fc","Calculated data"
"FBS","New Food Balances","136","Mauritania","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.87","Fc","Calculated data"
"FBS","New Food Balances","137","Mauritius","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","11.42","Fc","Calculated data"
"FBS","New Food Balances","138","Mexico","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.41","Fc","Calculated data"
"FBS","New Food Balances","141","Mongolia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.51","Fc","Calculated data"
"FBS","New Food Balances","273","Montenegro","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","18.4","Fc","Calculated data"
"FBS","New Food Balances","143","Morocco","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.11","Fc","Calculated data"
"FBS","New Food Balances","144","Mozambique","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","1.58","Fc","Calculated data"
"FBS","New Food Balances","28","Myanmar","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","3.97","Fc","Calculated data"
"FBS","New Food Balances","147","Namibia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","8.22","Fc","Calculated data"
"FBS","New Food Balances","149","Nepal","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.82","Fc","Calculated data"
"FBS","New Food Balances","153","New Caledonia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","42.77","Fc","Calculated data"
"FBS","New Food Balances","156","New Zealand","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","157","Nicaragua","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.61","Fc","Calculated data"
"FBS","New Food Balances","158","Niger","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.69","Fc","Calculated data"
"FBS","New Food Balances","159","Nigeria","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.55","Fc","Calculated data"
"FBS","New Food Balances","154","North Macedonia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","5.24","Fc","Calculated data"
"FBS","New Food Balances","162","Norway","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","68.49","Fc","Calculated data"
"FBS","New Food Balances","221","Oman","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.6","Fc","Calculated data"
"FBS","New Food Balances","165","Pakistan","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.11","Fc","Calculated data"
"FBS","New Food Balances","166","Panama","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","9.7","Fc","Calculated data"
"FBS","New Food Balances","169","Paraguay","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","2.39","Fc","Calculated data"
"FBS","New Food Balances","170","Peru","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","1","Fc","Calculated data"
"FBS","New Food Balances","171","Philippines","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","2.21","Fc","Calculated data"
"FBS","New Food Balances","173","Poland","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","174","Portugal","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","2.9","Fc","Calculated data"
"FBS","New Food Balances","146","Republic of Moldova","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","5.94","Fc","Calculated data"
"FBS","New Food Balances","183","Romania","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","5.38","Fc","Calculated data"
