"Country","Alcoholic Beverages","Animal fats","Animal Products","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar & Sweeteners","Sugar Crops","Treenuts","Vegetable Oils","Vegetables","Vegetal Products","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Maldives",0.6859,0.0029,14.2704,0.0068,11.5385,1.1422,8.7959,6.0777,2.0051,2.3155,3.0315,0.0019,0.2082,0.0808,0.3434,1.6403,0.396,2.979,0.1002,0.7569,0.1819,7.718,35.7208,7.9,"10.3",0.260747663551402,0.000747663551401869,0.0289719626168224,0.231028037383178,535000,"%"
"Mali",2.8904,0.0444,10.1637,0,19.8566,0.0573,0.7543,3.8991,1.9124,7.1206,0.1841,0.2746,0.491,0.7955,0.0638,2.6772,0.0614,0.8811,0,0.2374,0.5144,7.2943,39.8262,7.1,"6.3",0.00538711974768542,0.000340828161562723,0.00307254044155051,0.00197375114457218,19658000,"%"
"Malta",3.9051,0.2062,13.6092,0.0017,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,0.0315,0.0747,0.2899,0.2197,0.0331,2.059,0.2101,5.2164,0,0.1236,0.486,11.2856,36.3899,31,"<2.5",0.1222,0.0012,0.097,0.024,5e+05,"%"
"Mauritania",0.0055,0.1127,15.0193,0,20.4873,0.2539,1.0025,1.2991,3.3994,9.825,0.7519,0.4279,0.0799,1.0999,0.0066,1.0168,0.3677,4.3166,0,0,1.5716,3.9784,34.9779,11.3,"10.4",0.00578877596111357,0.000198851082633672,0.00033141847105612,0.00525850640742377,4526000,"%"
"Mauritius",3.0805,0.0074,9.27,0.0102,17.1855,0.591,2.1303,3.568,4.6992,1.7166,1.0545,0.1173,0.4479,0.856,0.1847,1.8348,0.1625,3.568,0,0.0369,2.049,6.7122,40.7175,11.5,"6.5",0.0263823064770932,0.000789889415481833,0.025434439178515,0.000157977883096367,1266000,"%"
"Mexico",4.4105,0.1672,15.1527,0.0201,11.4325,1.2967,0.9656,7.6794,4.3561,7.9917,0.0275,0.3552,0.1947,0.7071,0.1121,1.1644,0.0248,3.2266,0,0.1121,0.6856,5.0713,34.8456,28.4,"3.6",0.0561752925096977,0.00603032146440507,0.0390687091651722,0.0110762618801204,126577000,"%"
"Mongolia",3.143,0.3846,25.8904,0,10.1415,0.3727,0.044,1.0413,8.0929,15.856,0.5962,1.1411,0.0266,0.0366,0.0037,2.6155,0.1401,1.468,0,0.0137,0.555,4.3326,24.1046,19.6,"13.4",0.00431324564086877,0,0.00100948302233099,0.00330376261853778,3269000,"%"
"Montenegro",2.2188,0.2067,22.8328,0.0014,5.0447,0.5542,0.6472,5.7297,3.3604,17.9487,0.847,0.1132,0.0865,0.2113,0.0175,1.1955,0.2605,6.0418,0,0.0948,0.4258,5.0001,27.1612,24.9,"<2.5",0.0520900321543408,0.00144694533762058,0.0506430868167203,0,622000,"%"
"Morocco",0.287,0.1449,8.4754,0,18.7029,0.4848,1.3901,7.211,2.5074,3.754,0.0079,0.1949,0.1892,0.3306,0.1185,3.4356,0.2042,2.6816,0,0.2549,0.8168,7.286,41.5224,25.6,"3.4",0.0211650321746705,0.000562002978615787,0.0134150110995588,0.00718801809649591,35587000,"%"
"Mozambique",1.2195,0.0297,4.0111,0,13.1904,0.1932,1.1353,2.8312,0.9302,1.6385,0.1565,0.0852,0.1258,1.2809,0.004,22.2864,0.105,1.0649,0,0.2011,0.7509,2.7738,45.9864,6,"27.9",0.000688269775406705,3.29315682012777e-06,0.000233814134229072,0.000451162484357505,30366000,"%"
"Myanmar",0.2195,0.1751,13.5188,0.0034,16.7608,0.4613,4.0424,4.0287,4.9753,3.6306,0.3391,0.2298,1.1003,1.2806,0.217,1.4514,0.2298,2.8592,0,0.2913,0.6322,7.0725,36.4807,5.7,"10.6",NA,NA,NA,NA,54045000,"%"
"Namibia",5.4716,0.1134,9.6094,0.0053,9.9189,0.1196,1.0164,3.1266,2.6844,5.4479,0.7228,0.2207,0.0818,0.7298,0.1266,12.8231,0.0888,3.9848,9e-04,0.0114,0.9531,2.3626,40.38,15,"27.3",0.000841683366733467,0,0.000561122244488978,0.000280561122244489,2495000,"%"
"Nepal",0.3318,0.0312,5.4355,0,18.1511,0.1435,0.205,4.7443,0.9817,3.9212,0.0594,0.1536,0.0594,0.9107,0.4195,6.0521,0.0319,0.547,3.0677,0.0978,0.8209,9.277,44.5576,3.8,"8.7",0.00238386521723933,1.39816141773568e-05,0.00039148519696599,0.00197839840609598,28609000,"%"
"Netherlands",4.3903,0.3343,24.2977,0.0111,4.9685,0.747,1.1517,4.923,4.0105,18.0051,0,0.0397,0.1111,0.0852,0.064,4.2639,0.2904,2.3446,0,0.1587,0.8485,3.2587,25.6959,23.1,"<2.5",0.26332275742717,0.0337409864436112,0.00100374963945774,0.228578021344102,17335000,"%"
"New Caledonia",5.0363,0.0821,11.7818,0.0804,8.584,0.7494,2.0361,5.5855,5.8687,2.7675,3.6589,0.1993,2.2961,0.1275,0.0488,2.5648,0.1745,3.1901,0,0.0376,1.3157,5.5941,38.2208,NA,"7.1",NA,NA,NA,NA,291000,"%"
"New Zealand",5.222,0.7446,17.5777,0.017,7.7522,0.7067,1.6771,4.0202,6.8421,7.4627,0,0.1275,0.3296,0.2414,0.0495,3.3719,0.2374,3.8188,0.0109,0.1499,0.5364,6.6889,32.4155,32,"<2.5",0.0302433138950332,0.000422280313693947,0.0293786446812789,0.000442388900060326,4973000,"%"
"Nicaragua",1.7194,0.0836,13.1538,0.003,16.8052,0.549,0.6557,3.8377,3.1044,8.5527,0.6658,0.2055,0.3354,1.3618,0.006,1.9118,0.005,5.7021,0,0.003,0.9227,3.5808,36.8356,21.8,"17",0.00426214482126489,0.00025970058050718,0.00304002444240758,0.000962419798350137,6546000,"%"
"Niger",0.0558,0.1185,7.2385,0,22.2843,0.0239,0.2022,2.5503,1.2702,5.4224,0.0687,0.2022,1.4804,3.4838,0.0807,1.3489,0.0349,0.3666,0,0,0.3975,10.6117,42.7585,4.7,"16.5",0.00407961906396122,0.000265968855904938,0.00337179872163356,0.000441851486422719,23311000,"%"
"Nigeria",4.0037,0.0151,1.7391,0,10.922,0.1976,0.7239,4.4268,0.5675,0.173,0.0437,0.0627,0.4763,0.8311,0.1715,19.5271,0.0064,0.6501,0,0.0841,0.8573,6.2627,48.2585,7.8,"13.4",0.00401464938994049,0.000115941163591489,0.0011499572062658,0.0027487510200832,200964000,"%"
"North Macedonia",1.9045,0.3784,12.0639,0,7.3937,0.2847,0.3507,5.0893,2.0683,8.8045,0.2959,0.1773,0.3253,0.2847,0.1288,3.6779,0.2474,2.9104,0,0.1796,0.9505,14.5512,37.933,23.9,"3.2",0.0961982675649663,0.00543792107795958,0.0692492781520693,0.0215110683349374,2078000,"%"
